wavelength,reflectance,standard deviation(bandwidth)
1.1285,0.67764,0.005
1.1335,0.66542,0.005
1.1385,0.64968,0.005
1.1435,0.63009,0.005
1.1485,0.61169,0.005
1.1535,0.59891,0.005
1.1585,0.5903,0.005
1.1635,0.58408,0.005
1.1685,0.5809,0.005
1.1735,0.57738,0.005
1.1785,0.57545,0.005
1.1835,0.57361,0.005
1.1885,0.57364,0.005
1.1935,0.57243,0.005
1.1985,0.57131,0.005
1.2035,0.57194,0.005
1.2085,0.57202,0.005
1.2135,0.57404,0.005
1.2185,0.57733,0.005
1.2235,0.57849,0.005
1.2285,0.58068,0.005
1.2335,0.58224,0.005
1.2385,0.58541,0.005
1.2435,0.58723,0.005
1.2485,0.58985,0.005
1.2535,0.5917,0.005
1.2585,0.59329,0.005
1.2635,0.59393,0.005
1.2685,0.59371,0.005
1.2735,0.59359,0.005
1.2785,0.59129,0.005
1.2835,0.59023,0.005
1.2885,0.58641,0.005
1.2935,0.58388,0.005
1.2985,0.57846,0.005
1.3035,0.57201,0.005
1.3085,0.56455,0.005
1.3135,0.55495,0.005
1.3185,0.54344,0.005
1.3235,0.5318,0.005
1.3285,0.51806,0.005
1.3335,0.50498,0.005
1.3385,0.49125,0.005
1.3435,0.47794,0.005
1.3485,0.46517,0.005
1.3535,0.45696,0.005
1.3585,0.44764,0.005
1.3635,0.43613,0.005
1.3685,0.42369,0.005
1.3735,0.40614,0.005
1.3785,0.38496,0.005
1.3835,0.35125,0.005
1.3885,0.3152,0.005
1.3935,0.27651,0.005
1.3985,0.24229,0.005
1.4035,0.21273,0.005
1.4085,0.1888,0.005
1.4135,0.17657,0.005
1.4185,0.16497,0.005
1.4235,0.15788,0.005
1.4285,0.152,0.005
1.4335,0.14855,0.005
1.4385,0.1461,0.005
1.4435,0.1418,0.005
1.4485,0.14176,0.005
1.4535,0.14151,0.005
1.4585,0.14268,0.005
1.4635,0.14457,0.005
1.4685,0.14521,0.005
1.4735,0.1508,0.005
1.4785,0.15482,0.005
1.4835,0.1607,0.005
1.4885,0.16611,0.005
1.4935,0.17316,0.005
1.4985,0.17898,0.005
1.5035,0.18501,0.005
1.5085,0.19215,0.005
1.5135,0.19884,0.005
1.5185,0.20809,0.005
1.5235,0.215,0.005
1.5285,0.22408,0.0055
1.534,0.23118,0.006
1.54,0.23846,0.006
1.546,0.24756,0.006
1.552,0.25679,0.006
1.558,0.26347,0.006
1.564,0.27075,0.0065
1.5705,0.27847,0.007
1.5775,0.28596,0.007
1.5845,0.29367,0.007
1.5915,0.30147,0.007
