Trap coordinates,Latitude,Longitude
Trap 1,40.32701,-111.53027
Trap 2,40.32701,-111.53027
Trap 3,40.32696,-111.5306
Trap 4,40.32689,-111.53064
Trap 5,40.32637,-111.53146
Trap 6,40.32639,-111.53164
Trap 7,40.32582,-111.53193
Trap 8,40.32668,-111.53121
Trap 9,40.32665,-111.53005
Trap 10,40.32795,-111.52892
