Band_number,Band,Bandwidth [nm],lower,upper,Center Wavelength [nm]
1,CA,15.98,434.97,450.95,442.96
2,Blue,60.04,452.02,512.06,482.04
3,Green,57.33,532.74,590.07,561.41
4,Red,37.47,635.85,673.32,654.59
5,NIR,28.25,850.54,878.79,864.67
6,SWIR1,84.72,1566.5,1651.22,1608.86
7,SWIR2,186.66,2107.4,2294.06,2200.73
8,Pan,172.4,503.3,675.7,589.5
9,Cirrus,20.39,1363.24,1383.63,1373.43
