Satellite_Name,Band_Name,Units,Wavelength,Description
Hyperion,B091,W/m^2 SRμm,"1053.6900nm, FWHM: 11.0302nm",SWIR band B91
Hyperion,B092,W/m^2 SRμm,"1063.7900nm, FWHM: 11.0218nm",SWIR band B92
Hyperion,B093,W/m^2 SRμm,"1073.8900nm, FWHM: 11.0122nm",SWIR band B93
Hyperion,B094,W/m^2 SRμm,"1083.9900nm, FWHM: 11.0013nm",SWIR band B94
Hyperion,B095,W/m^2 SRμm,"1094.0900nm, FWHM: 10.9871nm",SWIR band B95
Hyperion,B096,W/m^2 SRμm,"1104.1900nm, FWHM: 10.9732nm",SWIR band B96
Hyperion,B097,W/m^2 SRμm,"1114.1900nm, FWHM: 10.9572nm",SWIR band B97
Hyperion,B098,W/m^2 SRμm,"1124.2800nm, FWHM: 10.9418nm",SWIR band B98
Hyperion,B099,W/m^2 SRμm,"1134.3800nm, FWHM: 10.9248nm",SWIR band B99
Hyperion,B100,W/m^2 SRμm,"1144.4800nm, FWHM: 10.9065nm",SWIR band B100
Hyperion,B101,W/m^2 SRμm,"1154.5800nm, FWHM: 10.8884nm",SWIR band B101
Hyperion,B102,W/m^2 SRμm,"1164.6800nm, FWHM: 10.8696nm",SWIR band B102
Hyperion,B103,W/m^2 SRμm,"1174.7700nm, FWHM: 10.8513nm",SWIR band B103
Hyperion,B104,W/m^2 SRμm,"1184.8700nm, FWHM: 10.8335nm",SWIR band B104
Hyperion,B105,W/m^2 SRμm,"1194.9700nm, FWHM: 10.8154nm",SWIR band B105
Hyperion,B106,W/m^2 SRμm,"1205.0700nm, FWHM: 10.7979nm",SWIR band B106
Hyperion,B107,W/m^2 SRμm,"1215.1700nm, FWHM: 10.7822nm",SWIR band B107
Hyperion,B108,W/m^2 SRμm,"1225.1700nm, FWHM: 10.7663nm",SWIR band B108
Hyperion,B109,W/m^2 SRμm,"1235.2700nm, FWHM: 10.7520nm",SWIR band B109
Hyperion,B110,W/m^2 SRμm,"1245.3600nm, FWHM: 10.7385nm",SWIR band B110
Hyperion,B111,W/m^2 SRμm,"1255.4600nm, FWHM: 10.7270nm",SWIR band B111
Hyperion,B112,W/m^2 SRμm,"1265.5600nm, FWHM: 10.7174nm",SWIR band B112
Hyperion,B113,W/m^2 SRμm,"1275.6600nm, FWHM: 10.7091nm",SWIR band B113
Hyperion,B114,W/m^2 SRμm,"1285.7600nm, FWHM: 10.7022nm",SWIR band B114
Hyperion,B115,W/m^2 SRμm,"1295.8600nm, FWHM: 10.6970nm",SWIR band B115
